Name	Description	Occupation skill points	Min Credit	Max Credit	Skills	Type
Soldier/Marine	"This refers to the enlisted ranks of the Army and Marines
and includes the lowest ranks of Private up through Gunnery
Sergeant (in U.S. terms). Although technically outranked
by even the freshest of Second Lieutenants, Veteran
Sergeants are respected by even the highest-ranking officers.
In the U.S., standard enlistment is for six years, including
four years’ active duty and two in standby (inactive) reserve.
All enlisted persons receive basic training—“boot camp”—
where raw recruits are taught how to march, shoot, and salute.
Upon graduation from basic training, most are assigned to the
infantry, although the Army also needs soldiers for artillery
and the tank corps. A few are trained for non-combat roles,
such as air controller, mechanic, clerk, or even officer’s steward.
Marines, while technically part of the Navy, are similar to
soldiers in background, training, and skills."	EDU × 2 + (DEX × 2 or STR × 2)	9	30	"Climb or Swim, Dodge, Fighting, Firearms,
Stealth, Survival and two of the following: First Aid,
Mechanical Repair or Other Language."	Standard
Spy	"Spies work for the intelligence community of a political
state or organization. They may appear in any form of occupation,
from ambassador to kitchen cleaner, in order to
obtain the information they require. Some work deep cover
for many years, while others change their identity at the
drop of a hat. While spies may be posted within their own
country, they can more usually be found working aboard.
While information gathering and counter intelligence
comprise the key work of a spy, other tasks may be performed,
such as recruiting moles or carrying out state-sanctioned
assassinations."	EDU × 2 + (APP × 2 or DEX × 2)	20	60	"Art/Craft (Acting) or Disguise, Firearms, Listen,
Other Language, one interpersonal skill (Charm,
Fast Talk, Intimidate, or Persuade), Psychology,
Sleight of Hand, Stealth."	Standard
Student/Intern	"May be a student enrolled at a college or university, or the
employee of a company receiving minimal compensation
for valuable on-the-job training."	EDU × 4	5	10	"Language (Own or Other), Library Use, Listen,
three fields of study and any two other skills as a
personal or era specialties."	Standard
Stuntman	"The film and television industry employs stuntmen and
women to simulate falls from buildings, car crashes, and
other catastrophes. Stunt performers will usually be trained
in fighting techniques and stage combat. There is always risk
in the performance of all stunt work, and health and safety
is a key element.
In modern times, stunt performers will largely be members
of a union where they have had to prove their credentials
(such as advanced driver’s license, diver’s license, and
so on). All television and film work will be supervised by a
stunt director. However in the 1920s, there are no equivalent
organizations nor any regulation of the industry. Accidents
and fatalities are frequent."	EDU × 2 + (DEX × 2 or STR × 2)	10	50	"Climb, Dodge, Electrical Repair or Mechanical Repair,
Fighting, First Aid, Jump, Swim, plus one from
either Diving, Drive Automobile, Pilot (any), Ride."	Standard
Tribe Member	"In the sense of family allegiance, at least, tribalism is everywhere.
In a tribe, the primacy of kinship and custom
is self-evident. A tribal group is nominally relatively small.
In place of a blanket of law and general individual rights,
the tribal personality defers to personal honor. Praise, vengeance, gifts, and glory—all must be personal to the tribe
member, and if leaders or enemies are to be treated as men
of honor, they too must be personally known in some way.
The notion of exile has real power in such a setting."	EDU × 2 + (DEX × 2 + STR × 2)	0	15	"Climb, Fighting or Throw, Listen, Natural World,
Occult, Spot Hidden, Swim, Survival (any)."	Standard
Undertaker	"Undertakers, also known as morticians or funeral directors,
manage the business of funeral rites. This work includes the
burial or cremation of the dead. With burials, the undertaker
will perform embalming, as well as dressing, casketing,
and cosmetising the appearance of the deceased.
Undertakers are licensed by the state. They either own
their own funeral parlors or work for someone who does."	EDU × 4	20	40	"Accounting, Drive Auto, one interpersonal skill
(Charm, Fast Talk, Intimidate, or Persuade), History,
Occult, Psychology, Science (Biology) and (Chemistry)."	Standard
Union Activist	"Union activists are organizers, leaders, and sometimes either
visionaries or malcontents with an axe to grind. Normally a
friend to the workers and an enemy of the bosses. Unions
exist in all walk of life, be it stevedores, construction workers,
miners, or actors.
During the early twentieth century, union officials find
themselves caught between big business wishing to destroy
them, politicians alternately befriending and condemning
them, communists and socialists trying to infiltrate their
ranks, and criminal mobs trying to take them over."	EDU × 4	5	30	"Accounting, two interpersonal skills (Charm, Fast
Talk, Intimidate, or Persuade), Fighting (Brawl),
Law, Listen, Operate Heavy Machinery, Psychology."	Standard
Waitress/Waiter	"Serves customers and clients within a hotel, bar, or other
drinking or eating establishment. Traditionally low-paid,
the waitress earns tips from clients by providing good service
and trying to establish a rapport.
A technically illegal profession during Prohibition (in
the case of serving liquor), many job opportunities exist
working in the illegal speakeasies owned by the mob."	EDU × 2 + (APP × 2 or DEX × 2)	9	20	"Accounting, Art/Craft (any), Dodge, Listen, two
interpersonal skills (Charm, Fast Talk, Intimidate,
or Persuade), Psychology, any one skill as a personal
or era specialty."	Standard
Clerk/Executive	"Clerks are habitually underpaid and the work is drudgery,
with those recognized as having talent being earmarked
for promotion someday. Middle and senior managers
attract higher salaries, with greater responsibilities and
say in how the business is managed day-to-day. Although
unmarried white-collar workers are not infrequent, most
executive types are family-oriented, with a spouse at home
and children—it is often expected of them."	EDU × 4	9	20	"Accounting, Language, Law, Library Use or Computer
Use, Listen, one interpersonal skill (Charm,
Fast Talk, Intimidate, or Persuade), any two other
skills as personal or era specialties."	Standard
Middle/Senior Manager	"This could range from the lowest-level white-collar position
of a clerk to a middle or senior manager. The employer could
be a small- to medium-sized locally owned business, up to a
large national, or multinational corporation."	EDU × 4	20	80	"Accounting, Other Language, Law, two interpersonal
skills (Charm, Fast Talk, Intimidate, or Persuade),
Psychology, any two other skills as personal
or era specialties."	Standard
Zealot	"Intense and vision-driven, scorning an easy life, the zealot
agitates for a better life for humanity, or for some advantage
for the group imagined to be the most worthwhile part of
humanity. Some fanatics promote their beliefs through
violence; however, the peaceable majority may be just as
implacable. All dream of the vindication of their beliefs."	EDU × 2 + (APP × 2 or POW × 2)	0	30	"History, two interpersonal skills (Charm, Fast Talk,
Intimidate, or Persuade), Psychology, Stealth, and any
three other skills as personal or era specialties."	Standard
Zookeeper	"Zookeepers are responsible for the feeding and care of the
animals in their charge; groundskeepers and attendants take
care of other chores. Often the zookeeper is specialized in a
particular breed of animal. The Zookeeper is able to use the
Medicine skill on animals."	EDU × 4	9	40	"Art/Craft (Animal Handling), Accounting,
Dodge, First Aid, Natural World, Medicine, Science
(Pharmacy), (Zoology)."	Standard
